intersection_id,tollgate_id,time_window,avg_travel_time,route,avg_travel_time_log,start_datetime,start_hour,day_of_week,date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,datetime,weekday
B,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",125.76,B-3,4.84229553482272,2016-07-19 08:00:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,2,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",81.6,A-2,4.414009680526933,2016-07-19 08:00:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
C,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",120.73,C-3,4.801805477421505,2016-07-19 08:00:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
C,1,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",151.39,C-1,5.026443024301769,2016-07-19 08:00:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",137.38,A-3,4.930003524070665,2016-07-19 08:00:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
C,1,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",129.1,C-1,4.86830338551846,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,2,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",80.21,A-2,4.397038392294319,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
B,1,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",128.75,B-1,4.865609522045998,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
C,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",143.37,C-3,4.972379448641723,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",165.48,A-3,5.114875182085379,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
B,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",141.33,B-3,4.958148305082534,2016-07-19 08:20:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
B,1,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",71.89,B-1,4.2889514553941215,2016-07-19 08:40:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
B,3,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",176.08,B-3,5.17660160786394,2016-07-19 08:40:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,3,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",136.68,A-3,4.924932151903284,2016-07-19 08:40:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,2,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",63.45,A-2,4.165889729385197,2016-07-19 08:40:00,8,1,2016-07-19,6,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,2016-07-19 06:00:00,1
A,3,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",192.68,A-3,5.2662073126298035,2016-07-19 09:00:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,2,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",78.05,A-2,4.370080563655481,2016-07-19 09:00:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
C,1,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",200.87,C-1,5.307623925868336,2016-07-19 09:00:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
B,3,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",165.29,B-3,5.113733252099823,2016-07-19 09:00:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
B,1,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",177.11,B-1,5.182401336950694,2016-07-19 09:00:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
B,1,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",104.33,B-1,4.6570982788484505,2016-07-19 09:20:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,2,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",69.04,A-2,4.249066507417651,2016-07-19 09:20:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
B,3,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",127.38,B-3,4.854994615883632,2016-07-19 09:20:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
C,1,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",164.52,C-1,5.109092033437288,2016-07-19 09:20:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,3,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",159.78,A-3,5.0800369708998145,2016-07-19 09:20:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",129.28,A-3,4.869685980408033,2016-07-19 09:40:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,2,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",69.66,A-2,4.257879641930999,2016-07-19 09:40:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
B,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",117.83,B-3,4.7776939003019345,2016-07-19 09:40:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
C,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",139.7,C-3,4.946629964120343,2016-07-19 09:40:00,9,1,2016-07-19,9,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,2016-07-19 09:00:00,1
A,3,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",182.46,A-3,5.2119966600815095,2016-07-19 17:00:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
B,3,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",139.36,B-3,4.944210550715014,2016-07-19 17:00:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
C,3,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",100.09,C-3,4.616011209165967,2016-07-19 17:00:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
A,2,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",105.39,A-2,4.667111587528274,2016-07-19 17:00:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
C,1,"[2016-07-19 17:00:00,2016-07-19 17:20:00)",173.78,C-1,5.163528040199398,2016-07-19 17:00:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
A,2,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",83.83,A-2,4.440649253819643,2016-07-19 17:20:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
C,3,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",172.78,C-3,5.15779013141106,2016-07-19 17:20:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
C,1,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",192.5,C-1,5.2652775124698366,2016-07-19 17:20:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
A,3,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",114.1,A-3,4.745801315727837,2016-07-19 17:20:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
B,3,"[2016-07-19 17:20:00,2016-07-19 17:40:00)",103.67,B-3,4.650812543866793,2016-07-19 17:20:00,17,1,2016-07-19,15,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,2016-07-19 15:00:00,1
